Country 	Country_Ab	Leagues	Average_Fouls	Corruption_Widespread_2017	Personally_Affected_2017	Corruption_Business_2017	Favouritism_2017	Personally_Affected_2019	Corruption_Business_2019	Favouritism_2019	UEFA_Fairplay_Points_2018_2019	Sample_size
SRB	rs	super liga	35.6	NA	NA	NA	NA	NA	NA	NA	7.919	NA
GRE	gr	super league	33.8	96	46	84	79	57	88	85	7.914	1021
BUL	bg	first league	32.1	83	27	76	77	28	78	81	7.73	1046
POR	pt	primeira liga	31.7	92	42	79	84	59	79	87	8.146	1040
CZE	cz	fortuna liga	31.6	84	19	77	72	22	73	64	7.958	1002
ITA_B	it	serie b	31.5	89	41	84	80	35	82	77	8.184	1029
UKR	ua	premier league	31.4	NA	NA	NA		NA	NA	NA	8.192	NA
SVK	sk	fortuna liga	31.1	85	42	81	77	41	79	77	7.995	1074
BLR	by	premier league	31.1	NA	NA	NA		NA	NA	NA	8.07	NA
ROM	ro	liga i	31.1	80	68	80	82	64	70	71	7.948	1091
ESP_2	es	segunda division 	30.8	94	58	75	83	58	79	84	8.196	1039
HUN	hu	nb i	30.6	86	26	76	72	32	77	75	7.865	1037
POL	pl	ekstraklasa	30.3	58	30	62	77	37	63	74	8.176	1041
AUT	at	bundesliga	30	50	18	50	62	22	56	60	8.285	1027
FRA_2	fr	ligue 2	29.1	67		58	70	10	57	67	8.258	1031
SVN	si	1 SNL	28	89	35	76	78	36	80	81	8.36	1008
ITA	it	serie a	27.6	89	41	84	80	35	82	77	8.184	1029
CRO	hr	1. hnk	27.3	94	59	75	76	54	84	79	8.04	1070
SWE	se	allsvenskan	27.1	37	11	30	47	9	29	42	8.435	1011
ESP	es	primera division	27.1	94	58	75	83	58	79	84	8.196	1039
TUR	tr	super liga	26.9	NA	NA	NA	NA	NA	NA	NA	8.022	NA
BEL	be	pro league	26.6	65	15	63	62	19	62	59	8.43	1006
UEFA	NA	europa league	26.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
GER_2	de	bundesliga 2	26.3	51	6	50	51	9	43	42	8.398	1528
RUS	ru	premier league	26.2	NA	NA	NA	NA	NA	NA	NA	8.031	NA
FRA	fr	ligue 1	25.8	67	8	58	70	10		67	8.258	1031
SUI	ch	superleague	25.7	NA	NA	NA	NA	NA	NA	NA	8.333	NA
ISR	il	ligat haal	25.5	NA	NA	NA	NA	NA	NA	NA	8.19	NA
UEFA	NA	champions league	25.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCO	gb	premier league	24.9	55	14	51	56	13	51	48	8.137	1023
FIN	fi	veikkausliiga	24.9	21	5	28	39	8	27	41	8.686	1010
ENG_CL	gb	championship	24.7	55	14	51	56	13	51	48	8.344	1023
GER	de	bundesliga	24.6	51	6	50	51	9	43	42	8.398	1528
NOR	no	eliteserien	24.4	NA	NA	NA	NA	NA	NA	NA	8.525	NA
DEN	dk	superliga	23.7	22	4	23	18	7	31	24	8.493	1026
NED	nl	eredivisie	22.1	44	4	35	38	4	34	38	8.272	1030
ENG	gb	premier league	21.5	55	14	51	56	13	51	48	8.344	1023
